"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"05-Feb-2021","EQ","1,034.30","1,041.10","995.60","1,028.75","999.55","1,003.55","1,015.04","1,044.00","320.00",80586,"81,798,075.50",6095
"04-Feb-2021","EQ","999.90","1,038.00","997.95","996.75","1,035.00","1,028.75","1,022.85","1,044.00","320.00",135193,"138,282,360.70",5824
"03-Feb-2021","EQ","988.50","1,044.00","987.50","983.70","990.00","996.75","1,021.49","1,044.00","320.00",230839,"235,799,906.65",12110
"02-Feb-2021","EQ","979.90","1,010.00","965.10","978.40","985.00","983.70","985.91","1,034.40","320.00",56947,"56,144,570.65",4976
"01-Feb-2021","EQ","980.25","994.90","941.00","988.05","979.85","978.40","973.24","1,034.40","320.00",83091,"80,867,188.80",8764
"29-Jan-2021","EQ","979.00","1,022.00","973.65","976.40","980.25","988.05","991.58","1,034.40","320.00",208816,"207,058,324.20",9397
"28-Jan-2021","EQ","974.90","1,014.95","962.35","977.40","975.05","976.40","992.11","1,034.40","320.00",150298,"149,112,485.55",5140
"27-Jan-2021","EQ","978.90","994.45","971.00","975.70","974.90","977.40","980.01","1,034.40","320.00",86625,"84,893,284.20",6506
"25-Jan-2021","EQ","994.30","1,009.95","959.25","993.05","975.00","975.70","986.89","1,034.40","320.00",59847,"59,062,152.70",6270
"22-Jan-2021","EQ","1,000.00","1,018.00","986.70","1,003.00","994.30","993.05","1,000.05","1,034.40","320.00",72487,"72,490,928.60",5062
"21-Jan-2021","EQ","988.85","1,029.00","977.90","977.50","1,003.70","1,003.00","1,002.61","1,034.40","320.00",96463,"96,714,928.15",5915
"20-Jan-2021","EQ","965.10","991.35","965.05","965.55","973.25","977.50","980.77","1,034.40","320.00",63865,"62,637,180.95",2064
"19-Jan-2021","EQ","1,000.00","1,000.00","960.00","979.55","965.10","965.55","979.45","1,034.40","320.00",79702,"78,064,104.70",3018
"18-Jan-2021","EQ","1,004.00","1,019.05","952.05","1,011.20","978.00","979.55","986.93","1,034.40","320.00",169075,"166,865,202.20",9699
"15-Jan-2021","EQ","1,001.90","1,034.40","984.05","1,002.75","1,008.80","1,011.20","1,011.26","1,034.40","320.00",195857,"198,062,312.00",10879
"14-Jan-2021","EQ","986.80","1,019.55","979.10","971.10","996.15","1,002.75","1,001.24","1,019.55","320.00",398738,"399,231,839.85",18364
"13-Jan-2021","EQ","939.40","979.95","931.50","935.20","971.00","971.10","955.99","979.95","320.00",169234,"161,786,544.25",8786
"12-Jan-2021","EQ","916.00","949.35","909.00","922.30","935.30","935.20","934.15","949.35","320.00",89660,"83,755,498.00",5120
"11-Jan-2021","EQ","924.00","941.00","907.95","914.75","920.00","922.30","924.57","941.00","320.00",109248,"101,006,981.80",5341
"08-Jan-2021","EQ","907.40","922.00","903.05","901.35","915.00","914.75","912.13","933.70","320.00",81999,"74,793,944.00",3594
"07-Jan-2021","EQ","904.80","921.95","895.50","903.80","897.00","901.35","905.36","933.70","320.00",109868,"99,469,717.85",9474
"06-Jan-2021","EQ","913.80","933.70","887.00","905.60","901.00","903.80","914.09","933.70","320.00",102531,"93,722,830.60",5223
"05-Jan-2021","EQ","878.00","931.40","865.05","883.35","905.10","905.60","909.87","931.40","320.00",250212,"227,660,057.70",16209
"04-Jan-2021","EQ","886.15","893.00","873.00","886.15","882.60","883.35","883.12","928.00","320.00",46701,"41,242,793.40",3101
"01-Jan-2021","EQ","889.90","898.40","876.00","883.30","883.20","886.15","888.04","928.00","320.00",39609,"35,174,394.45",2658
"31-Dec-2020","EQ","901.40","906.00","871.80","901.45","883.00","883.30","890.35","928.00","320.00",35932,"31,991,943.15",2506
"30-Dec-2020","EQ","910.00","910.35","892.90","908.85","894.00","901.45","900.51","928.00","320.00",63726,"57,386,181.60",4920
"29-Dec-2020","EQ","899.90","928.00","870.00","893.70","908.00","908.85","907.61","928.00","320.00",303747,"275,683,274.10",14962
"28-Dec-2020","EQ","878.10","906.95","872.00","878.05","895.50","893.70","894.93","906.95","320.00",189595,"169,675,133.70",8699
